id,correctors,corrected
171615,0,0
171481,0,0
171480,0,0
171478,0,0
171477,0,0
171209,2,3
171208,0,1
171207,2,2
171206,7,12
171205,6,12
171204,2,1
171203,0,0
171202,1,8
171201,0,1
171200,18,11
171199,6,6
171198,4,2
171197,11,2
171196,3,3
171195,0,0
171194,4,4
171193,0,5
171192,0,0
171191,0,0
171190,2,3
171189,4,3
171188,0,0
171187,3,2
171186,10,5
171185,11,12
171184,0,0
171183,0,0
170421,0,0
169809,0,0
169736,9,7
169623,0,0
169622,0,2
169621,0,0
169620,0,0
169619,0,1
169618,0,1
169617,0,0
169616,0,0
169615,0,0
169614,15,15
169613,0,0
169612,0,0
169611,0,0
169610,0,0
169609,23,17
169608,0,0
169607,0,0
169606,24,20
169605,4,7
169604,10,14
169603,14,13
169602,9,6
169601,0,0
169600,15,17
169599,27,23
169598,12,14
169597,16,16
169596,13,13
169595,0,0
169594,0,3
169593,10,12
169592,0,0
169591,0,0
169590,12,14
169589,9,10
169588,0,0
169587,16,14
169586,0,0
169585,0,0
169584,15,18
169583,25,26
169582,19,16
169581,0,0
169580,0,0
169579,0,0
169578,0,0
169577,8,13
169576,14,16
169575,16,18
169574,2,0
169573,0,0
169572,0,0
169571,0,0
169570,20,16
169569,18,17
169568,16,14
169567,17,19
169566,0,1
169565,0,0
169564,23,20
169563,11,11
169562,0,0
169561,0,0
169560,0,6
169559,0,0
169558,24,20
169557,24,15
169556,0,0
169555,0,0
169554,0,0
169553,0,0
169552,24,17
169551,0,0
169550,0,0
169549,4,7
169548,4,7
169547,8,10
169546,0,0
169545,20,18
169544,0,0
169543,17,13
169542,10,12
169541,4,8
169540,0,0
169539,0,0
169538,0,0
169537,20,19
169536,4,8
169535,21,25
169534,20,19
169533,0,0
169532,0,0
169531,19,15
169530,22,21
169529,9,15
169528,22,22
169527,19,15
169526,12,15
169525,6,6
169524,0,1
169523,22,25
169522,0,1
169521,0,0
169520,4,1
169519,0,0
169518,0,0
169517,25,24
169516,0,0
169515,0,0
169514,0,0
169513,0,0
169512,16,17
169511,15,16
169510,0,2
169509,0,0
169508,19,17
169507,21,22
169506,0,0
169505,4,8
169504,0,0
169503,0,0
169502,11,13
169501,14,17
169500,15,20
169499,0,0
169498,16,17
169497,13,13
169496,8,11
169495,0,2
169494,0,0
